# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.2 Build 922 07/20/2023 SC Lite Edition
# File: C:\Users\tsuat\Desktop\projetVhdl2023\PinPlannerProjetVhdl2023.csv
# Generated on: Sat Nov 25 10:11:01 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
st_in_clk50MHz,Input,PIN_P11,3,B3_N0,PIN_P11,2.5 V,,,,,
st_in_int1,Input,PIN_Y14,4,B4_N0,PIN_Y14,2.5 V,,,,,
st_in_intBypass,Input,PIN_Y13,4,B4_N0,PIN_Y13,2.5 V,,,,,
st_in_miso,Input,PIN_V12,4,B4_N0,PIN_V12,2.5 V,,,,,
st_in_pB0,Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
st_in_pB1,Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
st_in_sw0,Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
st_in_sw1,Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
st_in_sw2,Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
st_in_sw3,Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
st_in_sw4,Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
st_in_sw5,Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
st_in_sw6,Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
st_in_sw7,Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
st_in_sw8,Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
st_in_sw9,Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
st_out_arduinoIO6,Output,PIN_AA11,4,B4_N0,PIN_AA11,2.5 V,,,,,
st_out_arduinoIO7,Output,PIN_AA12,4,B4_N0,PIN_AA12,2.5 V,,,,,
st_out_cs,Output,PIN_AB16,4,B4_N0,PIN_AB16,2.5 V,,,,,
st_out_Led0,Output,PIN_A8,7,B7_N0,PIN_A8,2.5 V,,,,,
st_out_Led1,Output,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
st_out_Led2,Output,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
st_out_Led3,Output,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
st_out_Led4,Output,PIN_D13,7,B7_N0,PIN_D13,2.5 V,,,,,
st_out_Led5,Output,PIN_C13,7,B7_N0,PIN_C13,2.5 V,,,,,
st_out_Led6,Output,PIN_E14,7,B7_N0,PIN_E14,2.5 V,,,,,
st_out_Led7,Output,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
st_out_Led8,Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
st_out_Led9,Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
st_out_mosi,Output,PIN_V11,4,B4_N0,PIN_V11,2.5 V,,,,,
st_out_sclk,Output,PIN_AB15,4,B4_N0,PIN_AB15,2.5 V,,,,,
st_out_segDp0,Output,PIN_D15,7,B7_N0,PIN_D15,2.5 V,,,,,
st_out_segDp1,Output,PIN_A16,7,B7_N0,PIN_A16,2.5 V,,,,,
st_out_segDp2,Output,PIN_A19,7,B7_N0,PIN_A19,2.5 V,,,,,
st_out_segDp3,Output,PIN_D22,6,B6_N0,PIN_D22,2.5 V,,,,,
st_out_segDp4,Output,PIN_F17,6,B6_N0,PIN_F17,2.5 V,,,,,
st_out_segDp5,Output,PIN_L19,6,B6_N0,PIN_L19,2.5 V,,,,,
st_out_syncroLigne,Output,PIN_N3,2,B2_N0,PIN_N3,2.5 V,,,,,
st_out_syncroTrame,Output,PIN_N1,2,B2_N0,PIN_N1,2.5 V,,,,,
stv4_out_B[3],Output,PIN_N2,2,B2_N0,PIN_N2,2.5 V,,,,,
stv4_out_B[2],Output,PIN_P4,2,B2_N0,PIN_P4,2.5 V,,,,,
stv4_out_B[1],Output,PIN_T1,2,B2_N0,PIN_T1,2.5 V,,,,,
stv4_out_B[0],Output,PIN_P1,2,B2_N0,PIN_P1,2.5 V,,,,,
stv4_out_G[3],Output,PIN_R1,2,B2_N0,PIN_R1,2.5 V,,,,,
stv4_out_G[2],Output,PIN_R2,2,B2_N0,PIN_R2,2.5 V,,,,,
stv4_out_G[1],Output,PIN_T2,2,B2_N0,PIN_T2,2.5 V,,,,,
stv4_out_G[0],Output,PIN_W1,2,B2_N0,PIN_W1,2.5 V,,,,,
stv4_out_R[3],Output,PIN_Y1,3,B3_N0,PIN_Y1,2.5 V,,,,,
stv4_out_R[2],Output,PIN_Y2,3,B3_N0,PIN_Y2,2.5 V,,,,,
stv4_out_R[1],Output,PIN_V1,2,B2_N0,PIN_V1,2.5 V,,,,,
stv4_out_R[0],Output,PIN_AA1,3,B3_N0,PIN_AA1,2.5 V,,,,,
stv7_out_7seg0[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
stv7_out_7seg0[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
stv7_out_7seg0[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
stv7_out_7seg0[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
stv7_out_7seg0[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
stv7_out_7seg0[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
stv7_out_7seg0[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
stv7_out_7seg1[6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
stv7_out_7seg1[5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
stv7_out_7seg1[4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
stv7_out_7seg1[3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
stv7_out_7seg1[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
stv7_out_7seg1[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
stv7_out_7seg1[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
stv7_out_7seg2[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
stv7_out_7seg2[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
stv7_out_7seg2[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
stv7_out_7seg2[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
stv7_out_7seg2[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
stv7_out_7seg2[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
stv7_out_7seg2[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
stv7_out_7seg3[6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
stv7_out_7seg3[5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
stv7_out_7seg3[4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
stv7_out_7seg3[3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
stv7_out_7seg3[2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
stv7_out_7seg3[1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
stv7_out_7seg3[0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
stv7_out_7seg4[6],Output,PIN_F20,6,B6_N0,PIN_F20,2.5 V,,,,,
stv7_out_7seg4[5],Output,PIN_F19,6,B6_N0,PIN_F19,2.5 V,,,,,
stv7_out_7seg4[4],Output,PIN_H19,6,B6_N0,PIN_H19,2.5 V,,,,,
stv7_out_7seg4[3],Output,PIN_J18,6,B6_N0,PIN_J18,2.5 V,,,,,
stv7_out_7seg4[2],Output,PIN_E19,6,B6_N0,PIN_E19,2.5 V,,,,,
stv7_out_7seg4[1],Output,PIN_E20,6,B6_N0,PIN_E20,2.5 V,,,,,
stv7_out_7seg4[0],Output,PIN_F18,6,B6_N0,PIN_F18,2.5 V,,,,,
stv7_out_7seg5[6],Output,PIN_N20,6,B6_N0,PIN_N20,2.5 V,,,,,
stv7_out_7seg5[5],Output,PIN_N19,6,B6_N0,PIN_N19,2.5 V,,,,,
stv7_out_7seg5[4],Output,PIN_M20,6,B6_N0,PIN_M20,2.5 V,,,,,
stv7_out_7seg5[3],Output,PIN_N18,6,B6_N0,PIN_N18,2.5 V,,,,,
stv7_out_7seg5[2],Output,PIN_L18,6,B6_N0,PIN_L18,2.5 V,,,,,
stv7_out_7seg5[1],Output,PIN_K20,6,B6_N0,PIN_K20,2.5 V,,,,,
stv7_out_7seg5[0],Output,PIN_J20,6,B6_N0,PIN_J20,2.5 V,,,,,
